mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.5	0	1/2	3/4	2	3	1/8	1/8	1		0	48	C3	3	4
1	0	0	0	1.0	0	1/2	3/4	2	2	1/4	1/4	1		0	48	C3	3	3
1	0	0	0	1.0	0	1/2	3/4	2	1	1/4	1/4	1		0	60	C4	4	2
1	0	0	0	1.0	0	1/2	3/4	1	2	1/4	1/4	1		1	67	G4	4	1
1	0	0	0	1.0	0	1/2	3/4	1	1	1/4	1/4	1		0	72	C5	5	0
1	0	1/2	1/2	0.5	1/8	5/8	3/4	2	3	1/8	1/8	1		5	47	B2	2	5
2	1	1	1	0.5	0	0	3/4	2	2	1/8	1/8	1		0	48	C3	3	13
2	1	1	1	2.0	0	0	3/4	2	1	1/2	1/2	1		4	64	E4	4	11
2	1	1	1	2.0	0	0	3/4	1	2	1/2	1/2	1		1	67	G4	4	8
2	1	1	1	2.0	0	0	3/4	1	1	1/2	1/2	1		0	72	C5	5	6
2	1	3/2	3/2	0.5	1/8	1/8	3/4	2	2	1/8	1/8	1		2	50	D3	3	14
2	1	2	2	0.5	1/4	1/4	3/4	2	2	1/8	1/8	1		4	52	E3	3	15
2	1	5/2	5/2	0.5	3/8	3/8	3/4	2	2	1/8	1/8	1		-1	53	F3	3	16
2	1	3	3	0.5	1/2	1/2	3/4	2	3	1/8	1/8	1		1	55	G3	3	18
2	1	3	3	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		1	55	G3	3	17
2	1	3	3	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	12
2	1	3	3	0.5	1/2	1/2	3/4	1	2	1/8	1/8	1		1	67	G4	4	9
2	1	3	3	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	B4	4	7
2	1	7/2	7/2	0.5	5/8	5/8	3/4	2	3	1/8	1/8	1		1	43	G2	2	19
2	1	7/2	7/2	0.5	5/8	5/8	3/4	1	2	1/8	1/8	1		-1	65	F4	4	10
3	2	4	4	0.5	0	0	3/4	2	2	1/8	1/8	1		3	45	A2	2	27
3	2	4	4	2.0	0	0	3/4	2	1	1/2	1/2	1		0	60	C4	4	25
3	2	4	4	1.5	0	0	3/4	1	2	3/8	1/4	3/2		4	64	E4	4	22
3	2	4	4	2.0	0	0	3/4	1	1	1/2	1/2	1		3	69	A4	4	20
3	2	9/2	9/2	0.5	1/8	1/8	3/4	2	2	1/8	1/8	1		5	47	B2	2	28
3	2	5	5	0.5	1/4	1/4	3/4	2	2	1/8	1/8	1		0	48	C3	3	29
3	2	11/2	11/2	0.5	3/8	3/8	3/4	2	2	1/8	1/8	1		2	50	D3	3	30
3	2	11/2	11/2	0.5	3/8	3/8	3/4	1	2	1/8	1/8	1		-1	65	F4	4	23
3	2	6	6	0.5	1/2	1/2	3/4	2	3	1/8	1/8	1		4	52	E3	3	32
3	2	6	6	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		4	52	E3	3	31
3	2	6	6	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60	C4	4	26
3	2	6	6	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		1	67	G4	4	21
3	2	6	6	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		1	67	G4	4	24
3	2	13/2	13/2	0.5	5/8	5/8	3/4	2	3	1/8	1/8	1		4	40	E2	2	33
4	3	7	7	1.0	0	0	3/4	2	3	1/4	1/4	1		3	45	A2	2	45
4	3	7	7	1.0	0	0	3/4	2	2	1/4	1/4	1		3	57	A3	3	42
4	3	7	7	1.0	0	0	3/4	2	1	1/4	1/4	1		0	60	C4	4	39
4	3	7	7	1.0	0	0	3/4	1	2	1/4	1/4	1		4	64	E4	4	36
