mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.5		0	0	3/4	2	2	1/8	1/8	1		1	55	G3	3	9
1	1	0	0	1.0		0	0	3/4	2	1	1/4	1/4	1		5	59	B3	3	6
1	1	0	0	1.0		0	0	3/4	1	2	1/4	1/4	1		2	62	D4	4	3
1	1	0	0	1.0		0	0	3/4	1	1	1/4	1/4	1		1	67	G4	4	0
1	1	1/2	1/2	0.5		1/8	1/8	3/4	2	2	1/8	1/8	1		6	54	F#3	3	10
1	1	1	1	1.0		1/4	1/4	3/4	2	2	1/4	1/4	1		4	52	E3	3	11
1	1	1	1	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		5	59	B3	3	7
1	1	1	1	1.0		1/4	1/4	3/4	1	2	1/4	1/4	1		4	64	E4	4	4
1	1	1	1	1.0		1/4	1/4	3/4	1	1	1/4	1/4	1		1	67	G4	4	1
1	1	2	2	1.0		1/2	1/2	3/4	2	2	1/4	1/4	1		2	50	D3	3	12
1	1	2	2	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	8
1	1	2	2	1.0		1/2	1/2	3/4	1	2	1/4	1/4	1		6	66	F#4	4	5
1	1	2	2	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		3	69	A4	4	2
2	2	3	3	1.0		0	0	3/4	2	2	1/4	1/4	1		1	43	G2	2	20
2	2	3	3	1.0		0	0	3/4	2	1	1/4	1/4	1		2	62	D4	4	18
2	2	3	3	0.5		0	0	3/4	1	2	1/8	1/8	1		1	67	G4	4	15
2	2	3	3	1.0		0	0	3/4	1	1	1/4	1/4	1		5	71	B4	4	13
2	2	7/2	7/2	0.5		1/8	1/8	3/4	1	2	1/8	1/8	1		-1	65	F4	4	16
2	2	4	4	2.0		1/4	1/4	3/4	2	2	1/2	1/2	1		0	48	C3	3	21
2	2	4	4	2.0		1/4	1/4	3/4	2	1	1/2	1/2	1		0	60	C4	4	19
2	2	4	4	2.0		1/4	1/4	3/4	1	2	1/2	1/2	1		4	64	E4	4	17
2	2	4	4	2.0		1/4	1/4	3/4	1	1	1/2	1/2	1		1	67	G4	4	14
3	3	6	6	1.5		0	0	3/4	2	2	3/8	1/4	3/2		-1	53	F3	3	31
3	3	6	6	1.0		0	0	3/4	2	1	1/4	1/4	1		0	60	C4	4	28
3	3	6	6	1.0		0	0	3/4	1	2	1/4	1/4	1		-1	65	F4	4	25
3	3	6	6	1.0		0	0	3/4	1	1	1/4	1/4	1		3	69	A4	4	22
3	3	7	7	1.0		1/4	1/4	3/4	2	1	1/4	1/4	1		0	60	C4	4	29
3	3	7	7	1.0		1/4	1/4	3/4	1	2	1/4	1/4	1		-1	65	F4	4	26
3	3	7	7	1.0		1/4	1/4	3/4	1	1	1/4	1/4	1		3	69	A4	4	23
3	3	15/2	15/2	0.5		3/8	3/8	3/4	2	2	1/8	1/8	1		4	52	E3	3	32
3	3	8	8	1.0		1/2	1/2	3/4	2	2	1/4	1/4	1		2	50	D3	3	33
3	3	8	8	1.0		1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	30
3	3	8	8	1.0		1/2	1/2	3/4	1	2	1/4	1/4	1		-1	65	F4	4	27
3	3	8	8	1.0		1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	B4	4	24
4	4	9	9	1.0		0	0	3/4	2	2	1/4	1/4	1		0	48	C3	3	41
4	4	9	9	2.0		0	0	3/4	2	1	1/2	1/2	1		4	64	E4	4	38
4	4	9	9	2.0		0	0	3/4	1	2	1/2	1/2	1		1	67	G4	4	36
4	4	9	9	2.0		0	0	3/4	1	1	1/2	1/2	1		0	72	C5	5	34
