mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	1.0	0	3/4	4/4	3	2	1/4	1/4	1		-4	44	Ab2	2	4
1	0	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		-4	56	Ab3	3	3
1	0	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		-3	63	Eb4	4	2
1	0	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		-4	68	Ab4	4	1
1	0	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	0
2	1	1	1	0.5	0	0	4/4	3	2	1/8	1/8	1		-5	49	Db3	3	26
2	1	1	1	0.5	0	0	4/4	2	2	1/8	1/8	1		-5	61	Db4	4	21
2	1	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		-5	61	Db4	4	15
2	1	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		-1	65	F4	4	10
2	1	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		-4	68	Ab4	4	5
2	1	3/2	3/2	0.5	1/8	1/8	4/4	3	2	1/8	1/8	1		0	48	C3	3	27
2	1	3/2	3/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		0	60	C4	4	22
2	1	2	2	1.0	1/4	1/4	4/4	3	2	1/4	1/4	1		-2	46	Bb2	2	28
2	1	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		-2	58	Bb3	3	23
2	1	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-5	61	Db4	4	16
2	1	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	11
2	1	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	6
2	1	3	3	1.5	1/2	1/2	4/4	3	2	3/8	1/4	3/2		-4	44	Ab2	2	29
2	1	3	3	1.5	1/2	1/2	4/4	2	2	3/8	1/4	3/2		-4	56	Ab3	3	24
2	1	3	3	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		-3	63	Eb4	4	17
