mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	1.0	0	3/4	4/4	3	2	1/4	1/4	1		3	45	A2	2	4
1	0	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		3	57	A3	3	3
1	0	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	2
1	0	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	1
1	0	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	0
2	1	1	1	0.5	0	0	4/4	3	2	1/8	1/8	1		8	44	G#2	2	28
2	1	1	1	0.5	0	0	4/4	2	2	1/8	1/8	1		8	56	G#3	3	21
2	1	1	1	0.5	0	0	4/4	2	1	1/8	1/8	1		5	59	B3	3	15
2	1	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	10
2	1	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	5
2	1	3/2	3/2	0.5	1/8	1/8	4/4	3	2	1/8	1/8	1		6	42	F#2	2	29
2	1	3/2	3/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	22
2	1	3/2	3/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	16
2	1	2	2	0.5	1/4	1/4	4/4	3	2	1/8	1/8	1		4	40	E2	2	30
2	1	2	2	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		4	52	E3	3	23
2	1	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		8	56	G#3	3	17
2	1	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	11
2	1	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	6
2	1	5/2	5/2	0.5	3/8	3/8	4/4	3	2	1/8	1/8	1		2	38	D2	2	31
2	1	5/2	5/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	24
2	1	3	3	0.5	1/2	1/2	4/4	3	2	1/8	1/8	1		7	37	C#2	2	32
2	1	3	3	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		7	49	C#3	3	25
2	1	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	18
2	1	3	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4	12
2	1	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	7
2	1	7/2	7/2	0.5	5/8	5/8	4/4	3	2	1/8	1/8	1		3	33	A1	1	33
2	1	7/2	7/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		3	45	A2	2	26
2	1	4	4	1.0	3/4	3/4	4/4	3	2	1/4	1/4	1	1	2	38	D2	2	34
2	1	4	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1	1	2	50	D3	3	27
2	1	4	4	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		5	59	B3	3	19
2	1	4	4	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		2	62	D4	4	13
2	1	4	4	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		8	68	G#4	4	8
2	1	9/2	9/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	20
2	1	9/2	9/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		7	61	C#4	4	14
2	1	9/2	9/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	9
3	2	5	5	0.5	0	0	4/4	3	2	1/8	1/8	1	-1	2	38	D2	2	62
3	2	5	5	0.5	0	0	4/4	2	2	1/8	1/8	1	-1	2	50	D3	3	54
3	2	5	5	0.5	0	0	4/4	2	1	1/8	1/8	1		8	56	G#3	3	47
3	2	5	5	0.5	0	0	4/4	1	2	1/8	1/8	1		5	59	B3	3	40
3	2	5	5	1.0	0	0	4/4	1	1	1/4	1/4	1		4	64	E4	4	35
3	2	11/2	11/2	0.5	1/8	1/8	4/4	3	2	1/8	1/8	1		7	37	C#2	2	63
3	2	11/2	11/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	55
3	2	11/2	11/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	48
3	2	11/2	11/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		7	61	C#4	4	41
3	2	6	6	0.5	1/4	1/4	4/4	3	2	1/8	1/8	1		2	38	D2	2	64
3	2	6	6	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		2	50	D3	3	56
3	2	6	6	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		6	54	F#3	3	49
3	2	6	6	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		3	57	A3	3	42
3	2	6	6	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		6	66	F#4	4	36
3	2	13/2	13/2	0.5	3/8	3/8	4/4	3	2	1/8	1/8	1		5	35	B1	1	65
3	2	13/2	13/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	57
3	2	13/2	13/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	50
3	2	13/2	13/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		2	62	D4	4	43
3	2	13/2	13/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		8	68	G#4	4	37
3	2	7	7	0.5	1/2	1/2	4/4	3	2	1/8	1/8	1		7	37	C#2	2	66
3	2	7	7	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		7	49	C#3	3	58
3	2	7	7	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		4	52	E3	3	51
3	2	7	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		7	61	C#4	4	44
3	2	7	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	38
3	2	15/2	15/2	0.5	5/8	5/8	4/4	3	2	1/8	1/8	1		6	42	F#2	2	67
3	2	15/2	15/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	59
3	2	15/2	15/2	1.0	5/8	5/8	4/4	2	1	1/4	1/4	1		3	57	A3	3	52
3	2	8	8	0.5	3/4	3/4	4/4	3	2	1/8	1/8	1		2	38	D2	2	68
3	2	8	8	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		2	50	D3	3	60
3	2	8	8	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4	45
3	2	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	39
3	2	17/2	17/2	0.5	7/8	7/8	4/4	3	2	1/8	1/8	1		4	40	E2	2	69
3	2	17/2	17/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	61
3	2	17/2	17/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		8	56	G#3	3	53
3	2	17/2	17/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	46
4	3	9	9	3.0	0	0	4/4	3	2	3/4	1/2	3/2		3	33	A1	1	79
4	3	9	9	3.0	0	0	4/4	2	2	3/4	1/2	3/2		3	45	A2	2	77
4	3	9	9	3.0	0	0	4/4	2	1	3/4	1/2	3/2		7	61	C#4	4	75
4	3	9	9	3.0	0	0	4/4	1	2	3/4	1/2	3/2		4	64	E4	4	73
4	3	9	9	3.0	0	0	4/4	1	1	3/4	1/2	3/2		3	69	A4	4	70
4	3	12	12	1.0	3/4	3/4	4/4	3	2	1/4	1/4	1		3	45	A2	2	80
4	3	12	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		3	57	A3	3	78
4	3	12	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	76
4	3	12	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	74
4	3	12	12	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		7	73	C#5	5	71
4	3	25/2	25/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		2	74	D5	5	72
5	4	13	13	0.5	0	0	4/4	3	2	1/8	1/8	1		3	45	A2	2	104
5	4	13	13	0.5	0	0	4/4	2	2	1/8	1/8	1		3	57	A3	3	98
5	4	13	13	1.0	0	0	4/4	2	1	1/4	1/4	1		4	64	E4	4	93
5	4	13	13	0.5	0	0	4/4	1	2	1/8	1/8	1		5	71	B4	4	85
5	4	13	13	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5	81
5	4	27/2	27/2	0.5	1/8	1/8	4/4	3	2	1/8	1/8	1		8	44	G#2	2	105
5	4	27/2	27/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		8	56	G#3	3	99
5	4	27/2	27/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		7	73	C#5	5	86
