mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	3
1	0	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	2
1	0	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	1
1	0	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	0
2	1	1	1	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	17
2	1	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3	12
2	1	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	8
2	1	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	4
2	1	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	18
2	1	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	13
2	1	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	9
2	1	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	5
2	1	3	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		-1	53	F3	3	19
2	1	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4	14
2	1	3	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		-1	65	F4	4	10
2	1	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	6
2	1	4	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	20
2	1	4	4	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		0	60	C4	4	15
2	1	4	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	7
2	1	4	4	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	11
2	1	9/2	9/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	16
3	2	5	5	1.0	0	0	4/4	2	2	1/4	1/4	1		3	57	A3	3	30
3	2	5	5	1.0	0	0	4/4	2	1	1/4	1/4	1		4	64	E4	4	27
3	2	5	5	1.0	0	0	4/4	1	2	1/4	1/4	1		3	69	A4	4	24
3	2	5	5	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	21
3	2	6	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		8	56	G#3	3	31
3	2	6	6	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-1	65	F4	4	28
3	2	6	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		5	71	B4	4	25
3	2	6	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	22
3	2	7	7	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		3	57	A3	3	32
3	2	7	7	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	64	E4	4	29
3	2	7	7	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		3	69	A4	4	26
3	2	7	7	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		0	72	C5	5	23
4	3	9	9	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	46
4	3	9	9	1.0	0	0	4/4	2	1	1/4	1/4	1		4	64	E4	4	41
4	3	9	9	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	37
4	3	9	9	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	33
4	3	10	10	1.0	1/4	1/4	4/4	2	3	1/4	1/4	1		5	47	B2	2	50
4	3	10	10	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		5	59	B3	3	47
4	3	10	10	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	42
4	3	10	10	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	38
4	3	10	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	34
4	3	11	11	1.0	1/2	1/2	4/4	2	3	1/4	1/4	1		0	48	C3	3	51
4	3	11	11	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		0	60	C4	4	43
4	3	11	11	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		0	60	C4	4	48
4	3	11	11	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	39
4	3	11	11	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	76	E5	5	35
