mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
3	2	6	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	23
3	2	6	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	27
3	2	7	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		6	54	F#3	3	38
3	2	7	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	33
3	2	7	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		9	63	D#4	4	28
3	2	7	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	24
3	2	8	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	39
3	2	8	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	34
3	2	8	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	29
3	2	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	25
4	3	9	9	3.0	0	0	4/4	2	2	3/4	1/2	3/2		5	47	B2	2	46
4	3	9	9	3.0	0	0	4/4	2	1	3/4	1/2	3/2		5	59	B3	3	44
4	3	9	9	3.0	0	0	4/4	1	2	3/4	1/2	3/2		9	63	D#4	4	42
4	3	9	9	3.0	0	0	4/4	1	1	3/4	1/2	3/2		6	66	F#4	4	40
4	3	12	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	47
4	3	12	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	45
4	3	12	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	43
4	3	12	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	41
5	4	13	13	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	63
5	4	13	13	1.0	0	0	4/4	2	1	1/4	1/4	1		4	64	E4	4	58
5	4	13	13	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	52
5	4	13	13	0.5	0	0	4/4	1	1	1/8	1/8	1		5	71	B4	4	48
5	4	27/2	27/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		7	73	C#5	5	49
5	4	14	14	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		2	50	D3	3	64
5	4	14	14	1.5	1/4	1/4	4/4	2	1	3/8	1/4	3/2		3	57	A3	3	59
5	4	14	14	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4	53
5	4	14	14	2.0	1/4	1/4	4/4	1	1	1/2	1/2	1		2	74	D5	5	50
5	4	29/2	29/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	65
5	4	29/2	29/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		1	67	G4	4	54
5	4	15	15	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		6	54	F#3	3	66
5	4	15	15	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	55
5	4	31/2	31/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		1	55	G3	3	67
5	4	31/2	31/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	60
5	4	16	16	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		3	57	A3	3	68
5	4	16	16	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		7	61	C#4	4	61
5	4	16	16	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		4	64	E4	4	56
5	4	16	16	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	51
5	4	33/2	33/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	62
5	4	33/2	33/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	57
6	5	17	17	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	84
6	5	17	17	0.5	0	0	4/4	2	1	1/8	1/8	1		4	64	E4	4	79
6	5	17	17	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	74
6	5	17	17	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	69
6	5	35/2	35/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	80
6	5	18	18	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	85
6	5	18	18	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	81
6	5	18	18	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4	75
6	5	18	18	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	70
6	5	37/2	37/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	76
6	5	19	19	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		1	55	G3	3	86
6	5	19	19	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	82
6	5	19	19	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	77
6	5	19	19	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		5	71	B4	4	71
6	5	39/2	39/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		3	57	A3	3	87
6	5	39/2	39/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		7	73	C#5	5	72
6	5	20	20	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		5	59	B3	3	88
6	5	20	20	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	83
6	5	20	20	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	78
6	5	20	20	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	73
6	5	41/2	41/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		7	61	C#4	4	89
7	6	21	21	3.0	0	0	4/4	2	1	3/4	1/2	3/2		3	57	A3	3	95
7	6	21	21	3.0	0	0	4/4	2	2	3/4	1/2	3/2		2	62	D4	4	98
7	6	21	21	3.0	0	0	4/4	1	2	3/4	1/2	3/2		6	66	F#4	4	92
7	6	21	21	3.0	0	0	4/4	1	1	3/4	1/2	3/2		2	74	D5	5	90
7	6	24	24	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		2	50	D3	3	99
7	6	24	24	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62	D4	4	96
7	6	24	24	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4	93
7	6	24	24	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	91
7	6	49/2	49/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	100
7	6	49/2	49/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	94
7	6	49/2	49/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		4	64	E4	4	97
8	7	25	25	1.5	0	0	4/4	2	2	3/8	1/4	3/2		5	47	B2	2	113
8	7	25	25	0.5	0	0	4/4	1	2	1/8	1/8	1		2	62	D4	4	105
8	7	25	25	1.0	0	0	4/4	2	1	1/4	1/4	1		6	66	F#4	4	110
8	7	25	25	0.5	0	0	4/4	1	1	1/8	1/8	1		5	71	B4	4	101
8	7	51/2	51/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	106
8	7	51/2	51/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		7	73	C#5	5	102
8	7	26	26	2.0	1/4	1/4	4/4	2	1	1/2	1/2	1		5	59	B3	3	111
8	7	26	26	2.0	1/4	1/4	4/4	1	2	1/2	1/2	1		6	66	F#4	4	107
8	7	26	26	2.0	1/4	1/4	4/4	1	1	1/2	1/2	1		2	74	D5	5	103
8	7	53/2	53/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	114
8	7	27	27	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		2	50	D3	3	115
8	7	55/2	55/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	116
8	7	28	28	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	117
8	7	28	28	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	112
8	7	28	28	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4	108
8	7	28	28	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	104
8	7	57/2	57/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	109
9	8	29	29	1.0	0	0	4/4	2	2	1/4	1/4	1		1	55	G3	3	135
9	8	29	29	0.5	0	0	4/4	2	1	1/8	1/8	1		5	59	B3	3	129
9	8	29	29	0.5	0	0	4/4	1	2	1/8	1/8	1		2	62	D4	4	123
9	8	29	29	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	118
9	8	59/2	59/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	130
9	8	59/2	59/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	124
9	8	30	30	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	136
9	8	30	30	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	131
9	8	30	30	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	125
9	8	30	30	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	119
9	8	31	31	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		4	52	E3	3	137
9	8	31	31	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		1	55	G3	3	132
9	8	31	31	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	126
9	8	31	31	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		5	71	B4	4	120
9	8	63/2	63/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	133
9	8	63/2	63/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		7	73	C#5	5	121
9	8	32	32	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		5	47	B2	2	138
9	8	32	32	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1	1	5	59	B3	3	134
9	8	32	32	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		2	62	D4	4	127
9	8	32	32	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1	1	2	74	D5	5	122
9	8	65/2	65/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	139
9	8	65/2	65/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	128
10	9	33	33	0.5	0	0	4/4	2	2	1/8	1/8	1		2	50	D3	3	154
10	9	33	33	0.5	0	0	4/4	2	1	1/8	1/8	1	-1	5	59	B3	3	148
10	9	33	33	3.0	0	0	4/4	1	2	3/4	1/2	3/2		6	66	F#4	4	146
10	9	33	33	1.0	0	0	4/4	1	1	1/4	1/4	1	-1	2	74	D5	5	140
10	9	67/2	67/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	155
10	9	67/2	67/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	149
10	9	34	34	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		6	54	F#3	3	156
10	9	34	34	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	150
10	9	34	34	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		3	69	A4	4	141
10	9	69/2	69/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		1	55	G3	3	157
10	9	69/2	69/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	142
10	9	35	35	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		3	57	A3	3	158
10	9	35	35	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		7	61	C#4	4	151
10	9	35	35	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		6	66	F#4	4	143
10	9	71/2	71/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		5	59	B3	3	159
10	9	71/2	71/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		9	63	D#4	4	152
10	9	71/2	71/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	144
10	9	36	36	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		0	60	C4	4	160
10	9	36	36	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	147
10	9	36	36	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	153
10	9	36	36	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	145
11	10	37	37	3.0	0	0	4/4	2	2	3/4	1/2	3/2		5	59	B3	3	169
11	10	37	37	3.0	0	0	4/4	2	1	3/4	1/2	3/2		9	63	D#4	4	167
11	10	37	37	3.0	0	0	4/4	1	2	3/4	1/2	3/2		6	66	F#4	4	164
11	10	37	37	3.0	0	0	4/4	1	1	3/4	1/2	3/2		5	71	B4	4	161
11	10	40	40	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		1	55	G3	3	170
11	10	40	40	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	168
11	10	40	40	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		4	64	E4	4	162
11	10	40	40	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		4	64	E4	4	165
11	10	81/2	81/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	171
11	10	81/2	81/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		9	63	D#4	4	166
11	10	81/2	81/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	163
12	11	41	41	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	191
12	11	41	41	1.0	0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3	185
12	11	41	41	0.5	0	0	4/4	1	2	1/8	1/8	1		4	64	E4	4	178
12	11	41	41	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	172
12	11	83/2	83/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	179
12	11	42	42	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	192
12	11	42	42	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		5	59	B3	3	186
12	11	42	42	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		1	67	G4	4	173
12	11	42	42	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	180
12	11	85/2	85/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	187
12	11	85/2	85/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	174
12	11	43	43	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		2	50	D3	3	193
12	11	43	43	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		2	62	D4	4	188
12	11	43	43	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		6	66	F#4	4	181
12	11	43	43	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		5	71	B4	4	175
12	11	87/2	87/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		0	48	C3	3	194
12	11	87/2	87/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	182
12	11	87/2	87/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		4	64	E4	4	189
12	11	87/2	87/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	176
12	11	44	44	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		5	47	B2	2	195
12	11	44	44	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		2	62	D4	4	183
12	11	44	44	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		6	66	F#4	4	190
12	11	44	44	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1	1	2	74	D5	5	177
12	11	89/2	89/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		3	45	A2	2	196
12	11	89/2	89/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		0	60	C4	4	184
13	12	45	45	0.5	0	0	4/4	2	2	1/8	1/8	1		1	43	G2	2	214
13	12	45	45	0.5	0	0	4/4	1	2	1/8	1/8	1		5	59	B3	3	203
13	12	45	45	1.0	0	0	4/4	2	1	1/4	1/4	1		1	67	G4	4	209
13	12	45	45	1.0	0	0	4/4	1	1	1/4	1/4	1	-1	2	74	D5	5	197
13	12	91/2	91/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		3	45	A2	2	215
13	12	91/2	91/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		0	60	C4	4	204
13	12	46	46	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		5	47	B2	2	216
13	12	46	46	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	210
13	12	46	46	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		2	62	D4	4	205
13	12	46	46	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	198
13	12	93/2	93/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		0	48	C3	3	217
13	12	93/2	93/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	206
13	12	47	47	1.5	1/2	1/2	4/4	2	2	3/8	1/4	3/2		2	50	D3	3	218
13	12	47	47	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		2	62	D4	4	211
13	12	47	47	1.5	1/2	1/2	4/4	1	2	3/8	1/4	3/2		6	66	F#4	4	207
13	12	47	47	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		3	69	A4	4	199
13	12	95/2	95/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		4	64	E4	4	212
13	12	95/2	95/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	200
13	12	48	48	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		6	66	F#4	4	201
13	12	48	48	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1	1	6	66	F#4	4	213
13	12	97/2	97/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		0	48	C3	3	219
13	12	97/2	97/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	208
13	12	97/2	97/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	202
14	13	49	49	1.0	0	0	4/4	2	2	1/4	1/4	1		5	47	B2	2	232
14	13	49	49	1.0	0	0	4/4	1	2	1/4	1/4	1		9	63	D#4	4	223
14	13	49	49	1.0	0	0	4/4	2	1	1/4	1/4	1	-1	6	66	F#4	4	227
14	13	49	49	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	220
14	13	50	50	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		0	48	C3	3	233
14	13	50	50	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	228
14	13	50	50	2.0	1/4	1/4	4/4	1	2	1/2	1/2	1		4	64	E4	4	224
14	13	50	50	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	221
14	13	101/2	101/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	234
14	13	101/2	101/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	229
14	13	51	51	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		10	46	A#2	2	235
14	13	51	51	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		7	61	C#4	4	230
14	13	51	51	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1	1	6	66	F#4	4	222
14	13	52	52	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		6	54	F#3	3	231
14	13	52	52	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		2	62	D4	4	225
14	13	105/2	105/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		7	61	C#4	4	226
15	14	53	53	0.5	0	0	4/4	2	2	1/8	1/8	1		5	47	B2	2	249
15	14	53	53	0.5	0	0	4/4	2	1	1/8	1/8	1		5	59	B3	3	242
15	14	53	53	0.5	0	0	4/4	1	2	1/8	1/8	1		2	62	D4	4	237
15	14	53	53	4.0	0	0	4/4	1	1	1	1	1	0	6	66	F#4	4	236
15	14	107/2	107/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	250
15	14	107/2	107/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		6	54	F#3	3	243
15	14	107/2	107/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	238
15	14	54	54	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		2	50	D3	3	251
15	14	54	54	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1	1	5	59	B3	3	244
15	14	54	54	2.0	1/4	1/4	4/4	1	2	1/2	1/2	1		6	66	F#4	4	239
15	14	109/2	109/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	252
15	14	55	55	1.5	1/2	1/2	4/4	2	2	3/8	1/4	3/2		6	54	F#3	3	253
15	14	55	55	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1	-1	5	59	B3	3	245
15	14	111/2	111/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		10	58	A#3	3	246
15	14	56	56	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		5	59	B3	3	247
15	14	56	56	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		8	68	G#4	4	240
15	14	113/2	113/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	254
15	14	113/2	113/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	248
15	14	113/2	113/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		10	70	A#4	4	241
16	15	57	57	0.5	0	0	4/4	2	2	1/8	1/8	1		2	50	D3	3	258
16	15	57	57	4.0	0	0	4/4	2	1	1	1	1	1	2	62	D4	4	257
16	15	57	57	4.0	0	0	4/4	1	1	1	1	1	0	6	66	F#4	4	255
16	15	57	57	4.0	0	0	4/4	1	2	1	1	1	1	5	71	B4	4	256
16	15	115/2	115/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	259
16	15	58	58	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		5	47	B2	2	260
16	15	117/2	117/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		10	46	A#2	2	261
16	15	59	59	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		5	47	B2	2	262
16	15	119/2	119/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	263
16	15	60	60	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		7	49	C#3	3	264
16	15	121/2	121/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	265
17	16	61	61	4.0	0	0	4/4	2	2	1	1	1		6	54	F#3	3	275
17	16	61	61	1.0	0	0	4/4	2	1	1/4	1/4	1	-1	2	62	D4	4	271
17	16	61	61	4.0	0	0	4/4	1	1	1	1	1	-1	6	66	F#4	4	266
17	16	61	61	1.0	0	0	4/4	1	2	1/4	1/4	1	-1	5	71	B4	4	267
17	16	62	62	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		7	61	C#4	4	272
17	16	62	62	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		10	70	A#4	4	268
17	16	125/2	125/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	273
17	16	125/2	125/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		8	68	G#4	4	269
17	16	63	63	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		7	61	C#4	4	274
17	16	63	63	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		10	70	A#4	4	270
