mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0		0	0	4/4	2	3	1/4		1/4	1		4	40	E2	2	10
1	1	1	1	0.5		1/4	1/4	4/4	1	1	1/8		1/8	1		5	71	B4	4	0
1	1	3/2	3/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		5	71	B4	4	1
1	1	2	2	1.0		1/2	1/2	4/4	1	1	1/4		1/4	1		4	76	E5	5	2
1	1	3	3	0.5		3/4	3/4	4/4	2	2	1/8		1/8	1		4	52	E3	3	8
1	1	3	3	0.5		3/4	3/4	4/4	2	1	1/8		1/8	1		4	64	E4	4	6
1	1	3	3	0.5		3/4	3/4	4/4	1	2	1/8		1/8	1		8	68	G#4	4	4
1	1	3	3	1.0		3/4	3/4	4/4	1	1	1/4		1/4	1		5	71	B4	4	3
1	1	7/2	7/2	0.5		7/8	7/8	4/4	2	2	1/8		1/8	1		4	52	E3	3	9
1	1	7/2	7/2	0.5		7/8	7/8	4/4	2	1	1/8		1/8	1		4	64	E4	4	7
1	1	7/2	7/2	0.5		7/8	7/8	4/4	1	2	1/8		1/8	1		8	68	G#4	4	5
2	2	4	4	1.0		0	0	4/4	2	2	1/4		1/4	1		3	57	A3	3	28
2	2	4	4	1.0		0	0	4/4	2	1	1/4		1/4	1		4	64	E4	4	24
2	2	4	4	1.0		0	0	4/4	1	2	1/4		1/4	1		3	69	A4	4	16
2	2	4	4	1.0		0	0	4/4	1	1	1/4		1/4	1		7	73	C#5	5	11
2	2	5	5	1.0		1/4	1/4	4/4	2	2	1/4		1/4	1		4	52	E3	3	29
2	2	5	5	1.0		1/4	1/4	4/4	2	1	1/4		1/4	1		4	64	E4	4	25
2	2	5	5	0.5		1/4	1/4	4/4	1	2	1/8		1/8	1		3	69	A4	4	17
2	2	5	5	1.0		1/4	1/4	4/4	1	1	1/4		1/4	1		5	71	B4	4	12
2	2	11/2	11/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		8	68	G#4	4	18
2	2	6	6	1.0		1/2	1/2	4/4	2	2	1/4		1/4	1		6	54	F#3	3	30
2	2	6	6	1.0		1/2	1/2	4/4	2	1	1/4		1/4	1		7	61	C#4	4	26
2	2	6	6	0.5		1/2	1/2	4/4	1	2	1/8		1/8	1		8	68	G#4	4	19
2	2	6	6	1.5		1/2	1/2	4/4	1	1	3/8		1/4	3/2		3	69	A4	4	13
2	2	13/2	13/2	0.25		5/8	5/8	4/4	1	2	1/16		1/16	1		6	66	F#4	4	20
2	2	27/4	27/4	0.25		11/16	11/16	4/4	1	2	1/16		1/16	1		4	64	E4	4	21
2	2	7	7	1.0		3/4	3/4	4/4	2	2	1/4		1/4	1		9	51	D#3	3	31
2	2	7	7	1.0		3/4	3/4	4/4	2	1	1/4		1/4	1		5	59	B3	3	27
2	2	7	7	0.5		3/4	3/4	4/4	1	2	1/8		1/8	1		6	66	F#4	4	22
2	2	15/2	15/2	0.5		7/8	7/8	4/4	1	2	1/8		1/8	1		6	66	F#4	4	23
2	2	15/2	15/2	0.25		7/8	7/8	4/4	1	1	1/16		1/16	1		5	71	B4	4	14
2	2	31/4	31/4	0.25		15/16	15/16	4/4	1	1	1/16		1/16	1		3	69	A4	4	15
3	3	8	8	1.0		0	0	4/4	2	2	1/4		1/4	1		4	52	E3	3	40
3	3	8	8	1.0		0	0	4/4	2	1	1/4		1/4	1		5	59	B3	3	38
3	3	8	8	1.0		0	0	4/4	1	2	1/4		1/4	1		4	64	E4	4	36
3	3	8	8	1.0		0	0	4/4	1	1	1/4		1/4	1		8	68	G#4	4	32
3	3	9	9	0.5		1/4	1/4	4/4	2	3	1/8		1/8	1		5	47	B2	2	42
3	3	9	9	1.0		1/4	1/4	4/4	2	2	1/4		1/4	1		5	47	B2	2	41
3	3	9	9	1.0		1/4	1/4	4/4	2	1	1/4		1/4	1		5	59	B3	3	39
3	3	9	9	1.0		1/4	1/4	4/4	1	2	1/4		1/4	1		9	63	D#4	4	37
3	3	9	9	1.0		1/4	1/4	4/4	1	1	1/4		1/4	1		6	66	F#4	4	33
3	3	19/2	19/2	0.5		3/8	3/8	4/4	2	3	1/8		1/8	1		7	49	C#3	3	43
3	3	10	10	2.0		1/2	1/2	4/4	2	3	1/2		1/2	1		9	51	D#3	3	44
3	3	11	11	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		5	71	B4	4	34
3	3	23/2	23/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		3	69	A4	4	35
4	4	12	12	0.5		0	0	4/4	2	3	1/8		1/8	1		4	52	E3	3	64
4	4	12	12	1.0		0	0	4/4	1	1	1/4		1/4	1		8	68	G#4	4	45
4	4	25/2	25/2	0.5		1/8	1/8	4/4	2	3	1/8		1/8	1		4	40	E2	2	65
4	4	13	13	1.0		1/4	1/4	4/4	2	2	1/4		1/4	1		4	52	E3	3	59
4	4	13	13	0.5		1/4	1/4	4/4	2	1	1/8		1/8	1		4	64	E4	4	55
4	4	13	13	0.5		1/4	1/4	4/4	1	2	1/8		1/8	1		8	68	G#4	4	51
4	4	13	13	0.5		1/4	1/4	4/4	1	1	1/8		1/8	1		7	73	C#5	5	46
4	4	27/2	27/2	0.5		3/8	3/8	4/4	2	1	1/8		1/8	1		9	63	D#4	4	56
4	4	27/2	27/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		8	68	G#4	4	52
