mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0		0	0	Tempo	4/4	1	1	0								𝅗𝅥=57.04	114.0	𝅗𝅥	57.04	0.0	
1	1	0	0	0.0		0	0	StaffText	4/4	1	1	0							Hörner						
1	1	0	0	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	0									
1	1	3/2	3/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	1									
1	1	2	2	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	2									
1	1	5/2	5/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	3									
1	1	3	3	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	4									
1	1	7/2	7/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	5									
1	1	0	0	1.5		0	0	Chord	4/4	1	2	3/8		1/4	3/2	6									
1	1	3/2	3/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	7									
1	1	2	2	0.5		1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	8									
1	1	5/2	5/2	0.5		5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	9									
1	1	3	3	0.5		3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	10									
1	1	7/2	7/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	11									
1	1	0	0	0.0		0	0	StaffText	4/4	2	1	0							Pauken						
1	1	1/2	1/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	12									
1	1	1	1	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	13									
1	1	3/2	3/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	14									
1	1	2	2	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	15									
1	1	5/2	5/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	16									
1	1	3	3	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	17									
1	1	7/2	7/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	18									
1	1	2	2	2.0		1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	19									
1	1	2	2	2.0		1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	20									
1	1	2	2	2.0		1/2	1/2	Chord	4/4	5	1	1/2		1/2	1	21									
1	1	2	2	2.0		1/2	1/2	Chord	4/4	6	1	1/2		1/2	1	22									
1	1	2	2	2.0		1/2	1/2	Chord	4/4	7	1	1/2		1/2	1	23									
1	1	2	2	2.0		1/2	1/2	Chord	4/4	8	2	1/2		1/2	1	24									
1	1	2	2	2.0		1/2	1/2	Chord	4/4	9	1	1/2		1/2	1	25									
1	1	2	2	2.0		1/2	1/2	Chord	4/4	10	1	1/2		1/2	1	26									
1	1	2	2	2.0		1/2	1/2	Chord	4/4	11	1	1/2		1/2	1	27	Nun								
1	1	2	2	2.0		1/2	1/2	Chord	4/4	11	2	1/2		1/2	1	28									
1	1	2	2	2.0		1/2	1/2	Chord	4/4	12	1	1/2		1/2	1	29									
1	1	2	2	2.0		1/2	1/2	Chord	4/4	12	2	1/2		1/2	1	30									
1	1	0	0	0.0		0	0	StaffText	4/4	13	1	0							Continuo						
1	1	0	0	1.0		0	0	Chord	4/4	13	1	1/4		1/4	1	31									
1	1	2	2	1.0		1/2	1/2	Chord	4/4	13	1	1/4		1/4	1	32									
1	1	0	0	1.0		0	0	Chord	4/4	14	1	1/4		1/4	1	33									
1	1	2	2	1.0		1/2	1/2	Chord	4/4	14	1	1/4		1/4	1	34									
2	2	4	4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	35									
2	2	9/2	9/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	36									
2	2	5	5	2.0		1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	37									
2	2	7	7	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	38									
2	2	4	4	0.5		0	0	Chord	4/4	1	2	1/8		1/8	1	39									
2	2	9/2	9/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	40									
2	2	5	5	2.0		1/4	1/4	Chord	4/4	1	2	1/2		1/2	1	41									
2	2	7	7	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	42									
2	2	4	4	2.0		0	0	Chord	4/4	2	1	1/2	r8	1/2	1	43									
2	2	6	6	2.0		1/2	1/2	Chord	4/4	2	1	1/2	r8	1/2	1	44									
2	2	4	4	2.0		0	0	Chord	4/4	3	1	1/2		1/2	1	45									
2	2	6	6	2.0		1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	46									
2	2	4	4	2.0		0	0	Chord	4/4	4	1	1/2		1/2	1	47									
2	2	6	6	2.0		1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	48									
2	2	4	4	2.0		0	0	Chord	4/4	5	1	1/2		1/2	1	49									
2	2	6	6	2.0		1/2	1/2	Chord	4/4	5	1	1/2		1/2	1	50									
2	2	4	4	2.0		0	0	Chord	4/4	6	1	1/2		1/2	1	51									
2	2	6	6	2.0		1/2	1/2	Chord	4/4	6	1	1/2		1/2	1	52									
2	2	4	4	2.0		0	0	Chord	4/4	7	1	1/2		1/2	1	53									
2	2	6	6	2.0		1/2	1/2	Chord	4/4	7	1	1/2		1/2	1	54									
2	2	4	4	2.0		0	0	Chord	4/4	8	2	1/2		1/2	1	55									
2	2	6	6	2.0		1/2	1/2	Chord	4/4	8	2	1/2		1/2	1	56									
2	2	4	4	1.0		0	0	Chord	4/4	9	1	1/4		1/4	1	57									0
2	2	5	5	1.0		1/4	1/4	Chord	4/4	9	1	1/4		1/4	1	58									
2	2	6	6	2.0		1/2	1/2	Chord	4/4	9	1	1/2		1/2	1	59									
2	2	4	4	2.0		0	0	Chord	4/4	10	1	1/2		1/2	1	60									
2	2	6	6	2.0		1/2	1/2	Chord	4/4	10	1	1/2		1/2	1	61									
2	2	4	4	2.0		0	0	Chord	4/4	11	1	1/2		1/2	1	62	dan-	gro-							
2	2	6	6	2.0		1/2	1/2	Chord	4/4	11	1	1/2		1/2	1	63	-ket	-sse							
2	2	4	4	2.0		0	0	Chord	4/4	11	2	1/2		1/2	1	64									
2	2	6	6	2.0		1/2	1/2	Chord	4/4	11	2	1/2		1/2	1	65									
2	2	4	4	1.0		0	0	Chord	4/4	12	1	1/4		1/4	1	66									1
2	2	5	5	1.0		1/4	1/4	Chord	4/4	12	1	1/4		1/4	1	67									
2	2	6	6	2.0		1/2	1/2	Chord	4/4	12	1	1/2		1/2	1	68									
2	2	4	4	2.0		0	0	Chord	4/4	12	2	1/2		1/2	1	69									
2	2	6	6	2.0		1/2	1/2	Chord	4/4	12	2	1/2		1/2	1	70									
2	2	4	4	1.0		0	0	Chord	4/4	13	1	1/4		1/4	1	71									
2	2	6	6	1.0		1/2	1/2	Chord	4/4	13	1	1/4		1/4	1	72									
2	2	4	4	1.0		0	0	Chord	4/4	14	1	1/4		1/4	1	73									
2	2	6	6	1.0		1/2	1/2	Chord	4/4	14	1	1/4		1/4	1	74									
3	3	8	8	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	75									
3	3	17/2	17/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	76									
3	3	9	9	2.0		1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	77									
3	3	11	11	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	78									
3	3	8	8	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	79									
3	3	9	9	2.0		1/4	1/4	Chord	4/4	1	2	1/2		1/2	1	80									
3	3	11	11	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	81									
3	3	8	8	2.0		0	0	Chord	4/4	2	1	1/2	r8	1/2	1	82									
3	3	10	10	2.0		1/2	1/2	Chord	4/4	2	1	1/2	r8	1/2	1	83									
3	3	8	8	2.0		0	0	Chord	4/4	3	1	1/2		1/2	1	84									
3	3	10	10	2.0		1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	85									
3	3	8	8	2.0		0	0	Chord	4/4	4	1	1/2		1/2	1	86									
3	3	10	10	2.0		1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	87									
3	3	8	8	2.0		0	0	Chord	4/4	5	1	1/2		1/2	1	88									
3	3	10	10	2.0		1/2	1/2	Chord	4/4	5	1	1/2		1/2	1	89									
3	3	8	8	2.0		0	0	Chord	4/4	6	1	1/2		1/2	1	90									
3	3	10	10	2.0		1/2	1/2	Chord	4/4	6	1	1/2		1/2	1	91									
3	3	8	8	2.0		0	0	Chord	4/4	7	1	1/2		1/2	1	92									
3	3	10	10	2.0		1/2	1/2	Chord	4/4	7	1	1/2		1/2	1	93									
3	3	8	8	2.0		0	0	Chord	4/4	8	2	1/2		1/2	1	94									
3	3	10	10	2.0		1/2	1/2	Chord	4/4	8	2	1/2		1/2	1	95									
3	3	8	8	2.0		0	0	Chord	4/4	9	1	1/2		1/2	1	96									
3	3	10	10	2.0		1/2	1/2	Chord	4/4	9	1	1/2		1/2	1	97									
3	3	8	8	2.0		0	0	Chord	4/4	10	1	1/2		1/2	1	98									
3	3	10	10	2.0		1/2	1/2	Chord	4/4	10	1	1/2		1/2	1	99									
3	3	8	8	2.0		0	0	Chord	4/4	11	1	1/2		1/2	1	100	al-	Din-							
3	3	10	10	2.0		1/2	1/2	Chord	4/4	11	1	1/2		1/2	1	101	-le	-ge							
3	3	8	8	2.0		0	0	Chord	4/4	11	2	1/2		1/2	1	102									
3	3	10	10	2.0		1/2	1/2	Chord	4/4	11	2	1/2		1/2	1	103									
3	3	8	8	2.0		0	0	Chord	4/4	12	1	1/2		1/2	1	104									
3	3	10	10	2.0		1/2	1/2	Chord	4/4	12	1	1/2		1/2	1	105									
3	3	8	8	2.0		0	0	Chord	4/4	12	2	1/2		1/2	1	106									
3	3	10	10	2.0		1/2	1/2	Chord	4/4	12	2	1/2		1/2	1	107									
3	3	8	8	1.0		0	0	Chord	4/4	13	1	1/4		1/4	1	108									
3	3	10	10	1.0		1/2	1/2	Chord	4/4	13	1	1/4		1/4	1	109									
3	3	8	8	1.0		0	0	Chord	4/4	14	1	1/4		1/4	1	110									
3	3	10	10	1.0		1/2	1/2	Chord	4/4	14	1	1/4		1/4	1	111									
4	4	12	12	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	112									
4	4	25/2	25/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	113									
4	4	13	13	2.0		1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	114									
4	4	15	15	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	115									
4	4	31/2	31/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	116									
4	4	12	12	0.5		0	0	Chord	4/4	1	2	1/8		1/8	1	117									
4	4	25/2	25/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	118									
4	4	13	13	2.0		1/4	1/4	Chord	4/4	1	2	1/2		1/2	1	119									
4	4	15	15	0.5		3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	120									
4	4	31/2	31/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	121									
4	4	12	12	2.0		0	0	Chord	4/4	2	1	1/2	r8	1/2	1	122									
4	4	14	14	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	123									
4	4	12	12	4.0		0	0	Chord	4/4	3	1	1		1	1	124									
4	4	12	12	4.0		0	0	Chord	4/4	4	1	1		1	1	125									
4	4	12	12	4.0		0	0	Chord	4/4	5	1	1		1	1	126									
4	4	12	12	4.0		0	0	Chord	4/4	6	1	1		1	1	127									
4	4	12	12	4.0		0	0	Chord	4/4	7	1	1		1	1	128									
4	4	12	12	4.0		0	0	Chord	4/4	8	2	1		1	1	129									
4	4	12	12	4.0		0	0	Chord	4/4	9	1	1		1	1	130									
4	4	12	12	4.0		0	0	Chord	4/4	10	1	1		1	1	131									
4	4	12	12	4.0		0	0	Chord	4/4	11	1	1		1	1	132	Gott	thut							
4	4	12	12	4.0		0	0	Chord	4/4	11	2	1		1	1	133									
4	4	12	12	4.0		0	0	Chord	4/4	12	1	1		1	1	134									
4	4	12	12	4.0		0	0	Chord	4/4	12	2	1		1	1	135									
4	4	12	12	1.0		0	0	Chord	4/4	13	1	1/4		1/4	1	136									
4	4	14	14	1.0		1/2	1/2	Chord	4/4	13	1	1/4		1/4	1	137									
4	4	12	12	1.0		0	0	Chord	4/4	14	1	1/4		1/4	1	138									
4	4	14	14	1.0		1/2	1/2	Chord	4/4	14	1	1/4		1/4	1	139									
5	5	16	16	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	140									
5	5	33/2	33/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	141									
5	5	17	17	2.0		1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	142									
5	5	19	19	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	143									
5	5	39/2	39/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	144									
5	5	16	16	0.5		0	0	Chord	4/4	1	2	1/8		1/8	1	145									
5	5	33/2	33/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	146									
5	5	17	17	2.0		1/4	1/4	Chord	4/4	1	2	1/2		1/2	1	147									
5	5	19	19	0.5		3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	148									
5	5	39/2	39/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	149									
5	5	16	16	1.0		0	0	Chord	4/4	13	1	1/4		1/4	1	150									
5	5	18	18	1.0		1/2	1/2	Chord	4/4	13	1	1/4		1/4	1	151									
5	5	16	16	1.0		0	0	Chord	4/4	14	1	1/4		1/4	1	152									
5	5	18	18	1.0		1/2	1/2	Chord	4/4	14	1	1/4		1/4	1	153									
6	6	20	20	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	154									
6	6	21	21	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	155									
6	6	43/2	43/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	156									
6	6	22	22	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	157									
6	6	23	23	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	158									
6	6	47/2	47/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	159									
6	6	20	20	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	160									
6	6	21	21	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	161									
6	6	43/2	43/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	162									
6	6	22	22	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	163									
6	6	23	23	0.5		3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	164									
6	6	47/2	47/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	165									
6	6	20	20	1.0		0	0	Chord	4/4	13	1	1/4		1/4	1	166									
6	6	22	22	1.0		1/2	1/2	Chord	4/4	13	1	1/4		1/4	1	167									
6	6	20	20	1.0		0	0	Chord	4/4	14	1	1/4		1/4	1	168									
6	6	22	22	1.0		1/2	1/2	Chord	4/4	14	1	1/4		1/4	1	169									
7	7	24	24	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	170									
7	7	49/2	49/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	171									
7	7	25	25	2.0		1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	172									
7	7	27	27	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	173									
7	7	55/2	55/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	174									
7	7	24	24	0.5		0	0	Chord	4/4	1	2	1/8		1/8	1	175									
7	7	49/2	49/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	176									
7	7	25	25	2.0		1/4	1/4	Chord	4/4	1	2	1/2		1/2	1	177									
7	7	27	27	0.5		3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	178									
7	7	55/2	55/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	179									
7	7	49/2	49/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	180									
7	7	25	25	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	181									
7	7	51/2	51/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	182									
7	7	26	26	2.0		1/2	1/2	Chord	4/4	2	1	1/2	r8	1/2	1	183									
7	7	26	26	2.0		1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	184									
7	7	26	26	2.0		1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	185									
7	7	26	26	2.0		1/2	1/2	Chord	4/4	5	1	1/2		1/2	1	186									
7	7	26	26	2.0		1/2	1/2	Chord	4/4	6	1	1/2		1/2	1	187									
7	7	26	26	2.0		1/2	1/2	Chord	4/4	7	1	1/2		1/2	1	188									
7	7	26	26	2.0		1/2	1/2	Chord	4/4	8	2	1/2		1/2	1	189									
7	7	26	26	2.0		1/2	1/2	Chord	4/4	9	1	1/2		1/2	1	190									
7	7	26	26	2.0		1/2	1/2	Chord	4/4	10	1	1/2		1/2	1	191									
7	7	26	26	2.0		1/2	1/2	Chord	4/4	11	1	1/2		1/2	1	192	mit	an							
7	7	26	26	2.0		1/2	1/2	Chord	4/4	11	2	1/2		1/2	1	193									
7	7	26	26	2.0		1/2	1/2	Chord	4/4	12	1	1/2		1/2	1	194									
7	7	26	26	2.0		1/2	1/2	Chord	4/4	12	2	1/2		1/2	1	195									
7	7	24	24	1.0		0	0	Chord	4/4	13	1	1/4		1/4	1	196									
7	7	26	26	1.0		1/2	1/2	Chord	4/4	13	1	1/4		1/4	1	197									
7	7	24	24	1.0		0	0	Chord	4/4	14	1	1/4		1/4	1	198									
7	7	26	26	1.0		1/2	1/2	Chord	4/4	14	1	1/4		1/4	1	199									
8	8	28	28	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	200									
8	8	29	29	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	201									
8	8	59/2	59/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	202									
8	8	30	30	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	203									
8	8	31	31	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	204									
8	8	63/2	63/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	205									
8	8	28	28	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	206									
8	8	29	29	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	207									
8	8	59/2	59/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	208									
8	8	30	30	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	209									
8	8	31	31	0.5		3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	210									
8	8	63/2	63/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	211									
8	8	28	28	2.0		0	0	Chord	4/4	2	1	1/2	r8	1/2	1	212									
8	8	30	30	2.0		1/2	1/2	Chord	4/4	2	1	1/2	r8	1/2	1	213									
8	8	28	28	2.0		0	0	Chord	4/4	3	1	1/2		1/2	1	214									
8	8	30	30	2.0		1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	215									
8	8	28	28	2.0		0	0	Chord	4/4	4	1	1/2		1/2	1	216									
8	8	30	30	2.0		1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	217									
8	8	28	28	2.0		0	0	Chord	4/4	5	1	1/2		1/2	1	218									
8	8	30	30	2.0		1/2	1/2	Chord	4/4	5	1	1/2		1/2	1	219									
8	8	28	28	2.0		0	0	Chord	4/4	6	1	1/2		1/2	1	220									
8	8	30	30	2.0		1/2	1/2	Chord	4/4	6	1	1/2		1/2	1	221									
8	8	28	28	2.0		0	0	Chord	4/4	7	1	1/2		1/2	1	222									
8	8	30	30	2.0		1/2	1/2	Chord	4/4	7	1	1/2		1/2	1	223									
8	8	28	28	2.0		0	0	Chord	4/4	8	2	1/2		1/2	1	224									
8	8	30	30	2.0		1/2	1/2	Chord	4/4	8	2	1/2		1/2	1	225									
8	8	28	28	2.0		0	0	Chord	4/4	9	1	1/2		1/2	1	226									
8	8	30	30	2.0		1/2	1/2	Chord	4/4	9	1	1/2		1/2	1	227									
8	8	28	28	2.0		0	0	Chord	4/4	10	1	1/2		1/2	1	228									
8	8	30	30	2.0		1/2	1/2	Chord	4/4	10	1	1/2		1/2	1	229									
