mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0						𝅘𝅥=78	78.0	𝅘𝅥	78.0	0.0	
1	0	0	0	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	0	Du							
1	0	0	0	1.0	0	3/4	Chord	4/4	1	2	1/4	1/4	1	1								
1	0	0	0	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	2								
1	0	0	0	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	3								
1	0	0	0	1.0	0	3/4	Chord	4/4	3	2	1/4	1/4	1	4								
2	1	1	1	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	5	hei-							0
2	1	2	2	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	6								0
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	7								
2	1	3	3	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	8	-li-							
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	9								
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	10	-ge							
2	1	1	1	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	11								1
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	12								
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	13								
2	1	4	4	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	14								
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	15								
2	1	1	1	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	16								2
2	1	3/2	3/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	17								2
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	18								
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	19								
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	20								
2	1	1	1	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	21								3
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	22								
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	23								
2	1	4	4	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	24								
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	25								
2	1	1	1	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	26								4
2	1	2	2	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	27								
2	1	3	3	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	28								
2	1	4	4	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	29								
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	30								
3	2	5	5	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	31	Brunst,							
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	32	sü-							
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	33	-sser							
3	2	5	5	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	34								
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	35								
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	36								
3	2	5	5	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	37								
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	38								
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	39								
3	2	5	5	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	40								
3	2	7	7	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	41								
3	2	15/2	15/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	42								
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	43								
3	2	5	5	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	44								
3	2	7	7	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	45								
3	2	15/2	15/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	46								
3	2	8	8	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	47								
4	3	9	9	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	48	Trost,							
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	49	nun							
4	3	9	9	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	50								
