mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0							𝅘𝅥=79.3	79.0	𝅘𝅥	79.3	0.0	
1	0	0	0	0.0	0	3/4	StaffText	4/4	1	1	0						Corno I						
1	0	0	0	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	0									
1	0	0	0	0.0	0	3/4	StaffText	4/4	2	1	0						Corno II						
1	0	0	0	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	1									
1	0	0	0	1.0	0	3/4	Chord	4/4	3	1	1/4	1/4	1	2									
1	0	0	0	1.0	0	3/4	Chord	4/4	4	1	1/4	1/4	1	3	1. O	4. Als							
1	0	0	0	1.0	0	3/4	Chord	4/4	4	2	1/4	1/4	1	4									
1	0	0	0	1.0	0	3/4	Chord	4/4	5	1	1/4	1/4	1	5									
1	0	0	0	1.0	0	3/4	Chord	4/4	5	2	1/4	1/4	1	6									
1	0	0	0	1.0	0	3/4	Chord	4/4	6	1	1/4	1/4	1	7									
1	0	0	0	1.0	0	3/4	Chord	4/4	7	1	1/4	1/4	1	8									
1	0	0	0	1.0	0	3/4	Chord	4/4	8	1	1/4	1/4	1	9									
1	0	0	0	1.0	0	3/4	Chord	4/4	9	1	1/4	1/4	1	10									
1	0	0	0	1.0	0	3/4	Chord	4/4	10	1	1/4	1/4	1	11									
1	0	0	0	1.0	0	3/4	Chord	4/4	11	1	1/4	1/4	1	12									
1	0	0	0	1.0	0	3/4	Chord	4/4	12	1	1/4	1/4	1	13									
1	0	0	0	1.0	0	3/4	Chord	4/4	13	2	1/4	1/4	1	14									
1	0	0	0	1.0	0	3/4	Chord	4/4	14	1	1/4	1/4	1	15									
2	1	1	1	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	16									
2	1	3/2	3/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	17									
2	1	2	2	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	18									
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	19									
2	1	3	3	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	20									
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	21									
2	1	4	4	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	22									
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	23									
2	1	1	1	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	24									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	25									
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	26									
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	27									
2	1	1	1	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	28									
2	1	2	2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	29									
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	30									
2	1	3	3	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	31									
2	1	4	4	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	32									0
2	1	9/2	9/2	0.25	7/8	7/8	Chord	4/4	3	1	1/16	1/16	1	33									0
2	1	19/4	19/4	0.25	15/16	15/16	Chord	4/4	3	1	1/16	1/16	1	34									
2	1	1	1	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	35	Je-	dann							
2	1	2	2	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	36	-su,	so							
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	37									
2	1	3	3	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	38	mei-								
2	1	4	4	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	39	-ne	du							1
2	1	9/2	9/2	0.25	7/8	7/8	Chord	4/4	4	1	1/16	1/16	1	40									1
2	1	19/4	19/4	0.25	15/16	15/16	Chord	4/4	4	1	1/16	1/16	1	41									
2	1	1	1	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	42									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	43									
2	1	3	3	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	44		wirst							
2	1	4	4	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	45									
2	1	1	1	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	46									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	47									
2	1	3	3	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	48									
2	1	4	4	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	49									
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	50									
2	1	1	1	1.0	0	0	Chord	4/4	5	2	1/4	1/4	1	51									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	5	2	1/4	1/4	1	52									
2	1	3	3	1.0	1/2	1/2	Chord	4/4	5	2	1/4	1/4	1	53									
2	1	4	4	1.0	3/4	3/4	Chord	4/4	5	2	1/4	1/4	1	54									
2	1	1	1	1.0	0	0	Chord	4/4	6	1	1/4	1/4	1	55									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	6	1	1/4	1/4	1	56									
2	1	3	3	1.0	1/2	1/2	Chord	4/4	6	1	1/4	1/4	1	57									
2	1	4	4	0.5	3/4	3/4	Chord	4/4	6	1	1/8	1/8	1	58									
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	6	1	1/8	1/8	1	59									
2	1	1	1	1.0	0	0	Chord	4/4	7	1	1/4	1/4	1	60									
2	1	2	2	0.5	1/4	1/4	Chord	4/4	7	1	1/8	1/8	1	61									
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	7	1	1/8	1/8	1	62									
2	1	3	3	1.0	1/2	1/2	Chord	4/4	7	1	1/4	1/4	1	63									
2	1	4	4	0.5	3/4	3/4	Chord	4/4	7	1	1/8	1/8	1	64									2
2	1	9/2	9/2	0.25	7/8	7/8	Chord	4/4	7	1	1/16	1/16	1	65									2
2	1	19/4	19/4	0.25	15/16	15/16	Chord	4/4	7	1	1/16	1/16	1	66									
2	1	1	1	1.0	0	0	Chord	4/4	8	1	1/4	1/4	1	67									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	8	1	1/4	1/4	1	68									
2	1	3	3	1.0	1/2	1/2	Chord	4/4	8	1	1/4	1/4	1	69									
2	1	4	4	1.0	3/4	3/4	Chord	4/4	8	1	1/4	1/4	1	70									
2	1	1	1	1.0	0	0	Chord	4/4	9	1	1/4	1/4	1	71									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	9	1	1/4	1/4	1	72									
