mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
1	1	0	0	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	0	Al-						
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	1	-les						
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	2	ist						
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	3	an						
1	1	0	0	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	4							
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	5							
1	1	2	2	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	6							0
1	1	5/2	5/2	1.0	5/8	5/8	Chord	4/4	1	2	1/4	1/4	1	7							
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	8							
1	1	0	0	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	9							
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	10							
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	11							
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	12							
1	1	0	0	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	13							
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	14							
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	15							
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	16							
1	1	0	0	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	17							
1	1	1	1	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	18							
1	1	2	2	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	19							
1	1	3	3	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	20							
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	21	Got-						
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	22	-tes						
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	23	Se-						
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	24	-gen						
2	2	4	4	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	25							
2	2	5	5	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	26							
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	27							
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	28							
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	29							
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	30							
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	31							
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	32							
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	33							
2	2	4	4	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	34							
2	2	5	5	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	35							
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	36							
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	37							
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	38							
2	2	4	4	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	39							
2	2	5	5	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	40							
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	41							
