mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0						𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
1	0	0	0	0.0	0	3/4	StaffText	4/4	1	1	0					2 Hörner						
1	0	0	0	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	0								
1	0	0	0	1.0	0	3/4	Chord	4/4	1	2	1/4	1/4	1	1								
1	0	0	0	0.0	0	3/4	StaffText	4/4	2	1	0					Pauken						
1	0	0	0	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	2								
1	0	0	0	1.0	0	3/4	Chord	4/4	3	1	1/4	1/4	1	3	Das							
1	0	0	0	1.0	0	3/4	Chord	4/4	3	2	1/4	1/4	1	4								
1	0	0	0	1.0	0	3/4	Chord	4/4	4	1	1/4	1/4	1	5								
1	0	0	0	0.5	0	3/4	Chord	4/4	4	2	1/8	1/8	1	6								
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	4	2	1/8	1/8	1	7								
1	0	0	0	1.0	0	3/4	Chord	4/4	5	1	1/4	1/4	1	8								
1	0	0	0	0.5	0	3/4	Chord	4/4	6	2	1/8	1/8	1	9								
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	6	2	1/8	1/8	1	10								
2	1	1	1	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	11								
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	12								
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	13								
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	14								
2	1	1	1	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	15								
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	16								
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	17								
